"'63","'000","'00","'010","'0002","1","劉美鳳","'1","'2","'0330617","74","臺北市","高中(職)以下","Y","*"," "
"'63","'000","'00","'010","'0002","2","阮忠恕","'999","'1","'0501010","57","臺北市","高中","N"," "," "
"'63","'000","'00","'010","'0002","3","許中華","'999","'1","'0560922","51","新北市","高中(職)以下","N"," "," "
"'63","'000","'00","'010","'0003","1","潘美珠","'999","'2","'0610620","46","臺灣省","專科","N"," "," "
"'63","'000","'00","'010","'0003","2","陳大業","'999","'1","'0610517","46","高雄市","專科","N"," "," "
"'63","'000","'00","'010","'0003","3","鄭玉梅","'999","'2","'0400507","67","臺灣省","高中","Y","*"," "
"'63","'000","'00","'010","'0004","1","謝翠鈴","'1","'2","'0430812","64","臺灣省","專科","Y","*"," "
"'63","'000","'00","'010","'0005","1","吳美貞","'1","'2","'0350928","72","臺北市","高中(職)以下","Y","*"," "
"'63","'000","'00","'010","'0005","2","許芷芸","'310","'2","'0641007","43","新北市","碩士","N"," "," "
"'63","'000","'00","'010","'0005","3","林寶錢","'999","'1","'0440511","63","臺灣省","高中(職)以下","N"," "," "
"'63","'000","'00","'010","'0006","1","李煥中","'1","'1","'0560131","51","高雄市","碩士","N","*"," "
"'63","'000","'00","'010","'0006","2","江雪花","'1","'2","'0411019","66","臺灣省","專科","N"," "," "
"'63","'000","'00","'010","'0007","1","華國雄","'1","'1","'0480522","59","新北市","高中(職)以下","Y","*"," "
"'63","'000","'00","'010","'0008","1","吳學毅","'1","'1","'0490101","58","臺北市","高中","Y","*"," "
"'63","'000","'00","'010","'0009","1","林玉琴","'999","'2","'0410917","66","臺北市","高中","Y"," "," "
"'63","'000","'00","'010","'0009","2","林妤潔","'98","'2","'0690716","38","其他","專科","N"," "," "
"'63","'000","'00","'010","'0009","3","蔡錦文","'999","'1","'0360814","71","臺灣省","大學","N","*"," "
"'63","'000","'00","'010","'0010","1","廖世雄","'999","'1","'0570405","50","高雄市","碩士","N"," "," "
"'63","'000","'00","'010","'0010","2","賴美旭","'1","'2","'0591026","48","臺灣省","專科","N","*"," "
"'63","'000","'00","'010","'0011","1","蔡友謙","'999","'1","'0691016","38","臺北市","高中","N"," "," "
"'63","'000","'00","'010","'0011","2","馮乙洋","'999","'1","'0690207","38","臺北市","大學","N"," "," "
"'63","'000","'00","'010","'0011","3","許秀雲","'1","'2","'0391010","68","臺北市","高中(職)以下","Y","*"," "
"'63","'000","'00","'010","'0012","1","袁俊麒","'1","'1","'0410828","66","臺北市","大學","Y","*"," "
"'63","'000","'00","'010","'0012","2","蔡甯甯","'999","'2","'0571015","50","臺灣省","高中","N"," "," "
"'63","'000","'00","'010","'0012","3","陳偉","'999","'1","'0781013","29","臺北市","大學","N"," "," "
"'63","'000","'00","'010","'0013","1","陳志明","'1","'1","'0500408","57","臺北市","高中","Y","*"," "
"'63","'000","'00","'010","'0013","2","葉劍南","'999","'1","'0580124","49","臺北市","高中","N"," "," "
"'63","'000","'00","'010","'0014","1","王叔珍","'999","'2","'0460810","61","臺灣省","大學","Y","*"," "
"'63","'000","'00","'010","'0015","1","游吉興","'1","'1","'0561127","50","臺中市","高中","Y","*"," "
"'63","'000","'00","'010","'0016","1","江永華","'16","'1","'0350107","72","臺北市","大學","Y","*"," "
"'63","'000","'00","'010","'0017","1","古瑞珍","'1","'2","'0450301","62","桃園市","大學","Y","*"," "
